AvgDurEmp;AvgTimeFillVac;InvAdjTime;LabAdjTime;ManCycTime;MinOrdProTime;Productivity;SafStoCov;StdWorkWeek;VacAdjTime;WIPAdjTime;penalty
113.4193;10.6022;14.042;12.6599;6.2915;2.7082;0.3571;1.8045;59.3627;4.2729;3.8619;10.78548843
96.2858;11.2453;7.3358;12.8159;10.9408;1.4947;0.1892;2.5958;23.8074;4.6422;3.4487;12.63984514
120.8419;6.0643;11.7302;12.5008;5.089;1.4291;0.2963;2.4995;40.8052;3.008;5.7581;9.231861979
134.1376;9.6144;15.7545;18.1774;8.9722;1.2746;0.2431;2.6669;24.2607;5.4161;8.6797;9.914898236
59.1026;5.21;12.9619;12.0641;10.7869;2.2251;0.1655;2.747;54.5418;5.1791;3.2922;10.55817766
132.9525;6.4015;17.0708;24.5638;11.1794;1.1569;0.254;2.7887;29.2751;3.1101;3.3566;10.35433305
125.4521;11.8206;11.1798;26.3975;4.5474;1.7859;0.2676;2.6279;39.3693;5.9636;6.9653;9.883811902
138.0912;6.1242;6.8371;26.4187;11.0659;2.3383;0.3475;1.6014;22.0872;4.375;5.0909;11.84222405
102.0227;9.9101;9.6339;26.9971;6.2273;1.1478;0.1378;2.5079;57.5891;3.8726;5.7095;10.07859491
101.1087;4.2792;8.6605;27.7687;5.4393;1.7083;0.2294;2.4475;22.3481;2.4333;4.46;9.443018405
90.2612;11.0268;13.7323;20.8926;6.4868;2.6844;0.301;1.108;28.5524;3.1241;4.7921;9.359610806
52.7324;7.3492;10.829;14.6758;9.1138;2.9501;0.279;1.1826;52.3999;5.5773;8.0843;9.74521636
78.7257;11.4178;16.7168;25.2887;10.0142;1.1107;0.2524;2.9874;52.0973;3.6805;8.2564;9.503661983
113.9702;7.7882;8.4271;20.3863;11.7606;2.9478;0.1393;1.4082;53.4016;3.7294;4.5271;11.99497415
130.3161;4.9378;16.868;13.4904;5.5209;2.8193;0.2046;2.6726;25.0526;3.7075;7.756;8.998976768
107.1409;8.0482;8.9964;13.61;6.0441;2.7765;0.1621;1.0726;21.8994;5.1276;8.8778;10.34641078
86.4569;4.7324;10.1786;15.2064;4.8667;1.9114;0.1325;1.232;59.5652;5.4412;7.1109;9.035491113
123.1697;4.1585;14.3324;20.9966;5.0576;2.7514;0.3532;1.1781;57.7691;5.231;6.3182;9.098709367
122.9256;5.7078;7.6051;25.8454;8.255;2.9143;0.2387;2.243;33.8216;3.2223;8.7435;10.83076654
137.4475;7.7176;7.862;9.5545;10.1728;2.4613;0.3694;1.7069;54.6212;2.5214;6.3357;12.00534099
116.8448;4.637;17.9666;10.3166;8.4933;1.2377;0.3121;2.4033;21.5958;2.899;8.5435;8.855783669
141.9012;5.7531;10.137;10.1898;11.297;1.4428;0.1727;1.0813;35.3541;3.4634;3.3848;12.08402189
104.4564;5.968;16.0165;26.8914;6.0237;1.9699;0.3718;2.3757;23.5749;5.0368;6.1207;9.321853084
75.7587;5.5674;6.4304;11.6611;11.2058;1.0678;0.1346;1.4822;41.9325;5.6626;6.7593;12.14435527
111.1264;11.978;7.0106;10.7151;8.6453;2.0564;0.3576;1.2019;32.6833;5.3457;5.0529;12.34809998
128.6788;10.9917;17.6428;17.7755;10.7314;2.9613;0.2733;2.0317;50.0675;4.7925;8.1316;10.22892005
85.224;11.6178;9.674;13.8519;7.3032;1.1017;0.1312;1.625;31.5785;3.7989;8.1658;10.51643609
64.6949;9.3618;17.2944;21.821;5.8713;1.974;0.2624;1.0328;53.3625;4.7469;8.595;9.261155075
61.0174;6.4754;15.001;11.0159;7.6372;2.2823;0.3079;2.0533;30.2768;3.8815;4.2865;9.191119997
84.6763;9.9496;17.3821;20.2641;4.2958;2.6686;0.1264;2.7724;53.682;3.16;5.0149;9.111612791
141.3036;11.5011;16.3749;19.2075;5.5046;2.4846;0.3156;2.8078;32.0368;2.9956;6.2065;9.381086051
129.2404;7.5886;8.752;27.4057;4.0709;1.6922;0.3545;2.8254;53.9272;2.4833;8.3622;9.543207392
149.5211;7.9504;9.4613;21.6892;11.9411;1.3145;0.3071;2.7527;42.3549;3.245;7.0314;11.49381273
53.4822;9.2122;8.5056;26.5847;9.8441;1.0303;0.3462;1.5914;58.623;3.4598;3.9234;11.10941157
55.2612;9.07;6.8425;13.7159;6.5899;2.8613;0.1463;1.4292;21.2576;2.0897;4.2922;11.21170371
83.5818;10.6493;7.412;11.5473;8.0711;1.0443;0.2771;2.9341;54.307;2.4013;6.2607;11.86941099
81.3948;4.4718;7.6892;21.1108;11.7259;2.7301;0.2059;2.5171;53.1262;5.7698;8.1299;11.36424294
79.7678;6.5652;17.9175;27.5175;11.8242;2.294;0.2246;2.8346;51.8691;2.443;5.6451;9.411987129
100.8735;9.4087;12.9035;28.4075;11.598;1.3754;0.3424;1.0455;20.3272;3.0742;3.7985;10.78970034
56.6219;4.176;13.8645;18.8817;4.3276;1.2073;0.2668;1.5213;25.599;4.4085;8.7803;9.035578761
124.4526;5.1473;8.8249;26.2416;4.6211;1.7355;0.2828;1.1585;57.2116;3.057;4.1012;9.392028175
144.3346;5.0075;14.918;25.6901;4.1076;2.6394;0.1492;1.8849;49.1712;4.4527;7.9658;9.329218211
54.553;7.0854;8.2972;19.7559;8.3841;1.8439;0.3641;1.6849;37.5602;2.0658;8.6583;9.827557438
112.2363;9.8451;13.676;27.5768;5.1287;2.8005;0.1335;2.2104;21.1064;3.7749;3.1309;9.444019023
50.5423;10.7748;6.5005;22.3021;8.9066;2.9332;0.3096;2.617;56.7145;5.4295;4.055;12.31339924
57.2794;4.5107;17.5977;13.4632;9.3684;1.5639;0.3491;2.923;56.0612;2.5492;7.4771;8.936313199
74.6807;10.5613;16.5077;26.6652;8.8352;1.1229;0.1838;2.2278;27.5479;5.8532;5.1999;9.498531987
70.5763;4.2203;16.8436;18.9608;9.9204;1.4627;0.1354;1.2698;35.4689;2.0386;3.5153;8.83881811
121.4266;9.7758;10.4376;10.8251;6.7083;1.2247;0.3133;1.6518;58.0319;5.8379;8.7283;10.77260355
73.9708;10.3609;16.5708;10.5455;7.7937;2.5828;0.1562;1.007;50.5274;4.8269;4.4168;10.17077737
61.6028;11.74;14.4734;18.478;8.6873;2.7245;0.1977;2.905;20.9317;2.6477;8.019;9.323103729
140.1895;4.3085;9.9159;26.8815;7.5423;1.1394;0.1824;2.9561;24.9873;5.7494;7.0923;10.12301511
132.1246;11.9032;9.8276;25.2144;7.2622;2.4776;0.3554;1.0666;31.8647;4.665;8.6341;10.79030281
146.3352;4.6612;12.1926;9.8681;9.7517;2.1323;0.1604;2.1093;56.4055;4.3262;8.0441;10.45580844
147.1453;4.1085;6.0867;27.7195;11.1378;1.6408;0.3676;2.069;57.945;5.1823;3.0331;12.01490657
87.8482;11.4692;7.1951;19.8815;11.8603;2.9248;0.3352;2.1575;21.6709;3.6406;4.3531;12.38657964
55.7185;11.9577;9.1551;25.0203;10.0826;2.9969;0.2074;1.3881;51.4216;2.2789;6.7048;10.6455963
106.355;10.9377;14.9557;11.3923;10.8374;1.6818;0.2876;2.5794;51.0217;5.2141;4.113;11.91676787
58.4261;5.0746;7.9935;27.8566;9.2277;1.6102;0.2254;2.8698;35.7651;5.0658;3.1621;11.12833428
100.1323;8.6539;10.6172;11.0393;4.2581;1.2129;0.1292;2.388;35.9017;5.0924;3.5639;10.24617705
149.4209;9.5036;16.9711;16.1149;4.6833;1.5178;0.3666;1.8517;59.7754;2.0049;5.5541;8.870642528
52.4702;4.5559;13.5334;25.8337;7.3944;2.9834;0.2229;1.0565;37.3345;5.9593;4.6134;9.249961824
148.7152;5.6214;6.3528;9.9864;10.132;1.1674;0.1409;2.5374;20.5993;2.5992;5.9167;12.04150931
54.4754;7.8296;6.1861;27.9378;4.722;2.1126;0.163;1.7624;42.1054;5.33;8.8049;10.44618733
117.233;10.7054;6.957;24.7055;11.0826;1.3814;0.1449;1.7946;41.6925;2.0566;3.5042;12.11648551
123.6147;7.9759;17.4856;27.1548;11.8985;1.0871;0.295;1.3394;45.301;5.9081;8.3033;9.799190577
70.1748;6.3412;7.6778;12.109;4.2063;2.2665;0.128;2.4556;56.887;2.1692;6.234;9.168065449
